county_name,fips,pct_no_vehicle,pct_poverty,median_household_income,county_norm
Alamance,37001,4.96,14.22,60866,alamance
Alexander,37003,2.81,12.25,62764,alexander
Alleghany,37005,5.63,19.55,42115,alleghany
Anson,37007,7.11,19.35,42000,anson
Ashe,37009,4.19,14.12,49176,ashe
Avery,37011,4.47,11.22,53513,avery
Beaufort,37013,5.81,17.05,56081,beaufort
Bertie,37015,11.31,21.41,41652,bertie
Bladen,37017,7.87,24.42,40476,bladen
Brunswick,37019,2.35,9.08,71193,brunswick
Buncombe,37021,5.41,11.24,66531,buncombe
Burke,37023,4.61,16.95,53732,burke
Cabarrus,37025,3.73,8.41,83828,cabarrus
Caldwell,37027,4.8,13.25,52362,caldwell
Camden,37029,1.29,5.87,79120,camden
Carteret,37031,3.94,9.67,66965,carteret
Caswell,37033,4.75,15.44,56999,caswell
Catawba,37035,4.91,13.04,62070,catawba
Chatham,37037,3.09,10.38,84222,chatham
Cherokee,37039,4.29,16.74,49254,cherokee
Chowan,37041,10.25,20.87,51188,chowan
Clay,37043,7.34,13.48,57065,clay
Cleveland,37045,6.51,18.38,50723,cleveland
Columbus,37047,6.18,21.09,43206,columbus
Craven,37049,5.92,14.05,61676,craven
Cumberland,37051,6.91,17.55,55551,cumberland
Currituck,37053,1.72,8.47,82793,currituck
Dare,37055,1.79,6.48,79742,dare
Davidson,37057,4.18,13.93,58473,davidson
Davie,37059,4.99,11.61,69105,davie
Duplin,37061,5.22,18.52,49376,duplin
Durham,37063,6.98,12.27,74927,durham
Edgecombe,37065,10.42,22.04,46370,edgecombe
Forsyth,37067,6.64,15.2,61229,forsyth
Franklin,37069,3.2,9.7,70493,franklin
Gaston,37071,5.36,12.43,62628,gaston
Gates,37073,3.38,14.31,55750,gates
Graham,37075,6.45,11.3,46010,graham
Granville,37077,4.12,14.36,68079,granville
Greene,37079,5.48,22.57,50320,greene
Guilford,37081,6.33,15.08,62880,guilford
Halifax,37083,9.22,23.86,41629,halifax
Harnett,37085,4.27,14.38,64992,harnett
Haywood,37087,4.33,12.12,56596,haywood
Henderson,37089,3.68,11.38,65508,henderson
Hertford,37091,8.99,20.29,46196,hertford
Hoke,37093,5.2,17.28,57141,hoke
Hyde,37095,2.2,29.91,43724,hyde
Iredell,37097,3.32,9.42,73103,iredell
Jackson,37099,4.78,19.35,51482,jackson
Johnston,37101,4.13,10.71,75288,johnston
Jones,37103,7.79,17.71,53053,jones
Lee,37105,3.95,15.99,60941,lee
Lenoir,37107,8.57,22.42,43063,lenoir
Lincoln,37109,3.44,9.27,75672,lincoln
McDowell,37111,6.42,14.94,53532,mcdowell
Macon,37113,6.44,15.43,51042,macon
Madison,37115,4.46,12.5,56664,madison
Martin,37117,9.29,20.51,44799,martin
Mecklenburg,37119,5.6,10.54,79265,mecklenburg
Mitchell,37121,8.38,13.4,55534,mitchell
Montgomery,37123,4.43,16.18,55523,montgomery
Moore,37125,4.21,9.47,77981,moore
Nash,37127,6.87,14.54,56770,nash
New Hanover,37129,6.31,12.7,67515,new hanover
Northampton,37131,8.07,18.68,45698,northampton
Onslow,37133,3.84,12.75,59976,onslow
Orange,37135,4.7,12.28,85785,orange
Pamlico,37137,4.81,13.82,55867,pamlico
Pasquotank,37139,6.17,11.59,61411,pasquotank
Pender,37141,3.09,11.7,74538,pender
Perquimans,37143,4.01,13.32,59401,perquimans
Person,37145,5.22,17.21,60688,person
Pitt,37147,9.15,20.03,54915,pitt
Polk,37149,3.66,11.01,60465,polk
Randolph,37151,3.68,14.73,56423,randolph
Richmond,37153,10.73,23.01,42354,richmond
Robeson,37155,8.03,27.12,39393,robeson
Rockingham,37157,7.03,18.82,50737,rockingham
Rowan,37159,5.93,16.42,59717,rowan
Rutherford,37161,6.04,18.38,50512,rutherford
Sampson,37163,5.14,22.27,49963,sampson
Scotland,37165,11.46,26.14,41948,scotland
Stanly,37167,5.38,13.77,60634,stanly
Stokes,37169,2.77,12.01,57539,stokes
Surry,37171,5.12,17.94,52743,surry
Swain,37173,8.87,19.8,52818,swain
Transylvania,37175,4.56,13.38,62056,transylvania
Tyrrell,37177,7.62,15.99,55341,tyrrell
Union,37179,2.75,6.8,95533,union
Vance,37181,7.8,18.73,48340,vance
Wake,37183,3.95,8.19,96734,wake
Warren,37185,10.36,21.23,42282,warren
Washington,37187,18.19,21.61,38927,washington
Watauga,37189,3.38,24.92,50034,watauga
Wayne,37191,7.04,17.94,54323,wayne
Wilkes,37193,5.73,17.15,49119,wilkes
Wilson,37195,9.2,20.35,49827,wilson
Yadkin,37197,4.6,13.82,57486,yadkin
Yancey,37199,4.17,15.28,53103,yancey
