edu_school_name,edu_county,edu_rate,grade_span,county_norm,name_norm,school_name,county,sch_type,sch_ptype,sch_ctype,lat,lon,nearest_stop_distance_m,stops_within_radius,avg_daily_trips_nearby,in_service_area,transit_desert_score,match_score,title_i,title_i_match_score,is_title_i
Richlands Primary,Onslow,0.1552,PK:02,onslow,richlands primary,Richlands Primary,Onslow,Regular School,,Traditional,34.89119411228104,-77.54754573479472,14433.7,0,0.0,False,0.523,100.0,,75.67567567567568,
"Central Elementary, Hillsborough",Orange,0.1586,PK:05,orange,hillsborough elementary,Hillsborough Elementary,Orange,Regular School,,Year Round,36.07937803286064,-79.11111668377103,766.8,3,9.0,True,0.423,85.18518518518519,,85.18518518518519,0.0
Wintergreen Intermediate,Pitt,0.0525,03:05,pitt,wintergreen intermediate,Wintergreen Intermediate,Pitt,Regular School,,Traditional,35.54640626961682,-77.35312084064151,424.0,2,0.0,True,0.6,100.0,Y,100.0,1.0
"Northwest Elementary, Greenville",Pitt,0.1457,PK:05,pitt,south greenville elementary,South Greenville Elementary,Pitt,Regular School,,Traditional,35.59865082109684,-77.38524381255544,183.5,22,10.8,True,0.442,86.20689655172413,Y,86.20689655172413,1.0
Randolph Early College High,Randolph,0.0533,09:13,randolph,randolph early college high,Randolph Early College High,Randolph,Regular School,Early College,Traditional,35.67236473963224,-79.8304230345855,195.9,3,14.7,True,0.466,100.0,,100.0,0.0
Culbreth Middle,Orange,0.062,06:08,orange,grey culbreth middle,Grey Culbreth Middle,Orange,Regular School,,Traditional,35.89210704148429,-79.06782923598135,13.2,16,45.9,True,0.445,85.71428571428572,,85.71428571428572,0.0
Oak Lane Elementary,Person,0.0585,KG:05,person,oak lane elementary,Oak Lane Elementary,Person,Regular School,,Traditional,36.274300406031806,-79.09657794926049,12365.2,0,0.0,False,0.537,100.0,,100.0,0.0
East End Elementary,Martin,0.1764,PK:05,martin,east end elementary,East End Elementary,Martin,Regular School,,Traditional,35.822951629597746,-77.2428004784814,20728.4,0,0.0,False,0.487,100.0,,71.7948717948718,
Edna Andrews Elementary,Martin,0.0733,PK:05,martin,edna andrews elementary,Edna Andrews Elementary,Martin,Regular School,,Traditional,35.93960490803887,-77.20656302060027,33718.8,0,0.0,False,0.439,100.0,,62.22222222222222,
South Creek High,Martin,0.1392,09:12,martin,south creek high,South Creek High,Martin,Regular School,,Traditional,35.85695010597068,-77.24378376461051,23986.9,0,0.0,False,0.47,100.0,,76.47058823529412,
South Creek Middle,Martin,0.2216,06:08,martin,south creek middle,South Creek Middle,Martin,Regular School,,Traditional,35.8555526500653,-77.24859362993637,23655.1,0,0.0,False,0.473,100.0,Y,100.0,1.0
Eastfield Global Magnet,McDowell,0.0688,PK:05,mcdowell,eastfield global magnet,Eastfield Global Magnet School,McDowell,Regular School,Magnet,Year Round,35.6867863601893,-81.98620217806285,21063.7,0,0.0,False,0.486,100.0,Y,100.0,1.0
Madison Middle,Madison,0.1434,06:08,madison,madison middle,Madison Middle,Madison,Regular School,,Traditional,35.8417567307397,-82.71374904721509,17305.7,0,0.0,False,0.509,100.0,,100.0,0.0
Madison High,Madison,0.3501,09:12,madison,madison high,Madison High,Madison,Regular School,,Traditional,35.81547427366656,-82.67378715837714,12862.7,0,0.0,False,0.534,100.0,,100.0,0.0
Macon Early College High School,Macon,0.0529,09:13,macon,macon early college high,Macon Early College High School,Macon,Regular School,Early College,Traditional,35.15992194331702,-83.38083242230842,152.4,1,1.0,True,0.52,100.0,,100.0,0.0
McDowell High,McDowell,0.2066,09:12,mcdowell,mcdowell high,McDowell High,McDowell,Regular School,,Traditional,35.69631428762214,-82.03647999215808,19342.3,0,0.0,False,0.496,100.0,,100.0,0.0
Nebo Elementary,McDowell,0.1362,PK:05,mcdowell,nebo elementary,Nebo Elementary,McDowell,Regular School,,Traditional,35.71426407068096,-81.92836594080211,19361.9,0,0.0,False,0.496,100.0,Y,100.0,1.0
Davidson Elementary,Mecklenburg,0.0564,KG:05,mecklenburg,davidson elementary,Davidson Elementary,Mecklenburg,Regular School,,Traditional,35.48956544578685,-80.84935227475424,747.4,6,7.0,True,0.417,100.0,,100.0,0.0
North Cove Elementary,McDowell,0.1445,PK:05,mcdowell,north cove elementary,North Cove Elementary,McDowell,Regular School,,Traditional,35.83674666105798,-81.99029986468722,6196.4,0,0.0,False,0.581,100.0,Y,100.0,1.0
Old Fort Elementary,McDowell,0.1297,PK:05,mcdowell,old fort elementary,Old Fort Elementary,McDowell,Regular School,,Traditional,35.625726808462595,-82.17903730129999,11046.3,0,0.0,False,0.546,100.0,Y,100.0,1.0
Pleasant Gardens Elementary,McDowell,0.1676,PK:05,mcdowell,pleasant gardens elementary,Pleasant Gardens Elementary,McDowell,Regular School,,Traditional,35.691891928014655,-82.0712713668656,19960.4,0,0.0,False,0.492,100.0,Y,100.0,1.0
West Marion Elementary,McDowell,0.1088,PK:05,mcdowell,west marion elementary,West Marion Elementary,McDowell,Regular School,,Traditional,35.62174074597017,-82.06075286167062,21692.2,0,0.0,False,0.483,100.0,Y,100.0,1.0
"Union Elementary, Vale",Lincoln,0.1052,KG:05,lincoln,union elementary,Union Elementary,Lincoln,Regular School,,Traditional,35.516525858645736,-81.3666186363734,20163.8,0,0.0,False,0.491,86.48648648648648,Y,86.48648648648648,1.0
Kiser Intermediate,Lincoln,0.1216,03:05,lincoln,kiser intermediate,Kiser Intermediate,Lincoln,Regular School,,Traditional,35.47719260560425,-81.26562370518643,19461.1,0,0.0,False,0.495,100.0,,66.66666666666667,
Olympic High - Renaissance School,Mecklenburg,0.1907,09:12,mecklenburg,olympic high renaissance,Olympic High  Renaissance School,Mecklenburg,Regular School,,Traditional,35.157801712099676,-80.9504773128764,633.1,3,107.3,True,0.36,100.0,,66.66666666666667,
Olympic High-Math Eng Tech Science,Mecklenburg,0.2127,09:12,mecklenburg,olympic highmath eng tech science,Olympic HighMath Eng Tech Science,Mecklenburg,Regular School,,Traditional,35.157801712099676,-80.9504773128764,633.1,3,107.3,True,0.36,98.50746268656717,,58.666666666666664,
Olympic High - Biotech Health Pub Admin,Mecklenburg,0.1983,09:12,mecklenburg,olympic high biotech health pub admin,Olympic High  Biotech Health Pub Admin,Mecklenburg,Regular School,,Traditional,35.157801712099676,-80.9504773128764,633.1,3,107.3,True,0.36,100.0,,48.97959183673469,
Providence High,Mecklenburg,0.1498,09:12,mecklenburg,providence high,Providence High,Mecklenburg,Regular School,,Traditional,35.10709008951382,-80.7657401054631,84.2,6,27.5,True,0.467,100.0,,100.0,0.0
Hawthorne High,Mecklenburg,0.2113,09:12,mecklenburg,hawthorne high,Hawthorne High,Mecklenburg,Alternative Education,Cooperative Innovative HS,Traditional,35.220012806013806,-80.80839006181695,44.9,19,147.3,True,0.41,100.0,,66.66666666666667,
Bruns Academy,Mecklenburg,0.2569,KG:08,mecklenburg,bruns academy,Bruns Academy,Mecklenburg,Regular School,,Traditional,35.250659526662595,-80.8506782676546,12.7,25,110.8,True,0.418,100.0,,68.96551724137932,
Olde Providence Elementary,Mecklenburg,0.0559,KG:05,mecklenburg,olde providence elementary,Olde Providence Elementary,Mecklenburg,Regular School,,Traditional,35.1097401153765,-80.79840970631773,755.8,2,3.0,True,0.436,100.0,,100.0,0.0
McKee Road Elementary,Mecklenburg,0.0566,KG:05,mecklenburg,mckee road elementary,McKee Road Elementary,Mecklenburg,Regular School,,Traditional,35.07430493459768,-80.74731128651679,2258.7,0,0.0,True,0.633,100.0,,100.0,0.0
Nathaniel Alexander Elementary,Mecklenburg,0.2155,PK:05,mecklenburg,nathaniel alexander elementary,Nathaniel Alexander Elementary,Mecklenburg,Regular School,,Traditional,35.30213715909143,-80.77528012728573,111.8,9,31.6,True,0.445,100.0,,65.45454545454545,
"Northwoods Elementary, Cary",Wake,0.0876,PK:05,wake,northwoods elementary,Northwoods Elementary,Wake,Regular School,,Traditional,35.7950631615275,-78.79011583917544,155.3,13,63.1,True,0.406,89.36170212765957,,89.36170212765957,0.0
Moore Square Museum Magnet Middle,Wake,0.129,06:08,wake,moore square museum magnet middle,Moore Square Museum Magnet Middle,Wake,Regular School,Magnet,Modified,35.776756879633346,-78.6349826918805,158.6,68,214.2,True,0.36,100.0,,73.07692307692308,
Morrisville Elementary,Wake,0.0631,KG:05,wake,morrisville elementary,Morrisville Elementary,Wake,Regular School,,Year Round,35.811497371766606,-78.84658337855113,2134.8,0,0.0,True,0.636,100.0,,100.0,0.0
"Reedy Creek Elementary, Cary",Wake,0.1312,KG:05,wake,reedy creek elementary,Reedy Creek Elementary,Wake,Regular School,,Traditional,35.8125926658226,-78.76583902318684,816.3,0,0.0,True,0.671,89.79591836734694,Y,89.79591836734694,1.0
"Salem Elementary, Apex",Wake,0.0965,PK:05,wake,salem elementary,Salem Elementary,Wake,Regular School,,Year Round,35.756154100966015,-78.85055597267112,936.4,0,0.0,True,0.667,86.48648648648648,,86.48648648648648,0.0
Davis Drive Middle,Wake,0.0568,06:08,wake,davis drive middle,Davis Drive Middle,Wake,Regular School,,Traditional,35.77749401681341,-78.85044880740112,1381.3,0,0.0,True,0.655,100.0,,100.0,0.0
Roaring River Elementary,Wilkes,0.073,PK:05,wilkes,roaring river elementary,Roaring River Elementary,Wilkes,Regular School,,Traditional,36.20876874580219,-81.00315000763882,13221.3,0,0.0,False,0.531,100.0,Y,100.0,1.0
Traphill Elementary,Wilkes,0.0625,PK:05,wilkes,traphill elementary,Traphill Elementary,Wilkes,Regular School,,Traditional,36.34591184533918,-81.029547730965,20756.6,0,0.0,False,0.487,100.0,Y,100.0,1.0
West Wilkes High,Wilkes,0.1232,09:12,wilkes,west wilkes high,West Wilkes High,Wilkes,Regular School,,Traditional,36.18556103223872,-81.25935599747551,6941.6,0,0.0,False,0.572,100.0,,100.0,0.0
West Wilkes Middle,Wilkes,0.127,06:08,wilkes,west wilkes middle,West Wilkes Middle,Wilkes,Regular School,,Traditional,36.16973406709344,-81.24128441657341,4662.0,0,0.0,True,0.597,100.0,,100.0,0.0
