year,ncessch,school_id,school_name,leaid,lea_name,state_leaid,seasch,street_mailing,city_mailing,state_mailing,zip_mailing,street_location,city_location,state_location,zip_location,phone,fips,latitude,longitude,csa,cbsa,urban_centric_locale,county_code,school_level,school_type,school_status,lowest_grade_offered,highest_grade_offered,bureau_indian_education,title_i_status,title_i_eligible,title_i_schoolwide,charter,magnet,shared_time,virtual,teachers_fte,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,elem_cedp,high_cedp,middle_cedp,ungrade_cedp,enrollment,state_leg_district_lower,state_leg_district_upper,ncessch_num,congress_district_id,direct_certification,lunch_program,frl_rate,student_teacher_ratio
2022,370001100394,3700394,Ashley Elementary,3700011,Cumberland County Schools,NC-260,260-308,810 Trainer Drive,Fayetteville,NC,28304,810 Trainer Drive,Fayetteville,NC,28304,(910)484-4156,37,35.0387,-78.9068,246,22180,12,37051,1,1,1,3.0,5.0,,,,,0,,0.0,0.0,14.0,175.0,0.0,175.0,1,0,0,0,178.0,37044,37019,370001100394,3708,,1.0,0.9831460674157303,12.714285714285714
2022,370001100395,3700395,Beaver Dam Elementary,3700011,Cumberland County Schools,NC-260,260-312,12059 Hwy 210 S,Roseboro,NC,28382,12059 Hwy 210 S,Roseboro,NC,28382,(910)838-0008,37,34.8945,-78.5808,246,22180,42,37051,1,1,1,0.0,5.0,,,,,0,,0.0,0.0,8.0,83.0,0.0,83.0,1,0,0,0,86.0,37045,37019,370001100395,3709,,1.0,0.9651162790697675,10.75
2022,370001100396,3700396,Lillian Black Elementary,3700011,Cumberland County Schools,NC-260,260-316,125 S 3rd Street,Spring Lake,NC,28390,125 S 3rd Street,Spring Lake,NC,28390,(910)497-7147,37,35.1672,-78.971411,246,22180,21,37051,-1,1,2,,,,,,,0,,,,,,,,0,1,0,1,,37042,37021,370001100396,3708,,,,
2022,370001100397,3700397,Brentwood Elementary,3700011,Cumberland County Schools,NC-260,260-320,1115 Bingham Drive,Fayetteville,NC,28304,1115 Bingham Drive,Fayetteville,NC,28304,(910)864-5310,37,35.0382,-78.9832,246,22180,12,37051,1,1,1,-1.0,5.0,,,,,0,,0.0,0.0,39.0,495.0,0.0,495.0,1,0,0,0,498.0,37042,37021,370001100397,3708,,1.0,0.9939759036144579,12.76923076923077
2022,370001100399,3700399,Douglas Byrd Middle,3700011,Cumberland County Schools,NC-260,260-321,1616 Ireland Drive,Fayetteville,NC,28304,1616 Ireland Drive,Fayetteville,NC,28304,(910)483-3101,37,35.0332,-78.9487,246,22180,12,37051,2,1,1,6.0,8.0,,,,,0,,0.0,0.0,61.0,932.0,0.0,932.0,0,0,1,0,935.0,37044,37019,370001100399,3708,,1.0,0.9967914438502674,15.327868852459016
2022,370001100400,3700400,Douglas Byrd High,3700011,Cumberland County Schools,NC-260,260-322,1624 Ireland Drive,Fayetteville,NC,28304,1624 Ireland Drive,Fayetteville,NC,28304,(910)484-8121,37,35.0314,-78.9485,246,22180,12,37051,3,1,1,9.0,12.0,,,,,0,,0.0,0.0,63.0,931.0,0.0,931.0,0,1,0,0,940.0,37044,37019,370001100400,3708,,1.0,0.9904255319148936,14.920634920634921
2022,370001100402,3700402,Cape Fear High,3700011,Cumberland County Schools,NC-260,260-325,4762 Clinton Road,Fayetteville,NC,28312,4762 Clinton Road,Fayetteville,NC,28312,(910)483-0191,37,35.0345,-78.762,246,22180,41,37051,3,1,1,9.0,12.0,,,,,0,,0.0,0.0,83.0,685.0,79.0,764.0,0,1,0,0,1529.0,37045,37019,370001100402,3709,,1.0,0.499672988881622,18.42168674698795
2022,370001100403,3700403,Elizabeth M Cashwell Elementary,3700011,Cumberland County Schools,NC-260,260-326,2970 Legion Road,Fayetteville,NC,28306,2970 Legion Road,Fayetteville,NC,28306,(910)424-2312,37,35.0065,-78.9149,246,22180,21,37051,1,1,1,-1.0,5.0,,,,,0,,0.0,0.0,40.0,614.0,0.0,614.0,1,0,0,0,617.0,37044,37019,370001100403,3709,,1.0,0.9951377633711507,15.425
2022,370001100405,3700405,Eastover-Central Elementary,3700011,Cumberland County Schools,NC-260,260-332,5174 Dunn Road,Eastover,NC,28312,5174 Dunn Road,Eastover,NC,28312,(910)483-8997,37,35.1228,-78.7618,246,22180,42,37051,1,1,1,-1.0,5.0,,,,,0,,0.0,0.0,30.0,146.0,26.0,172.0,1,0,0,0,397.0,37045,37019,370001100405,3709,,1.0,0.4332493702770781,13.233333333333333
2022,370001100406,3700406,Anne Chesnutt Middle,3700011,Cumberland County Schools,NC-260,260-336,2121 Skibo Road,Fayetteville,NC,28314,2121 Skibo Road,Fayetteville,NC,28314,(910)867-9147,37,35.0509,-78.9731,246,22180,12,37051,2,1,1,6.0,8.0,,,,,0,,0.0,0.0,37.0,440.0,0.0,440.0,0,0,1,0,443.0,37044,37019,370001100406,3708,,1.0,0.9932279909706546,11.972972972972974
