crdc_id,year,ncessch,leaid,fips,disability,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances
370237003441,2017,370237003441,3702370,37,4,-1.000,-1.000,-1.000,-1.000
370297001213,2017,370297001213,3702970,37,0,-1.000,87.000,-1.000,-1.000
370063002572,2017,370063002572,3700630,37,2,-1.000,3.000,-1.000,-1.000
370053000220,2017,370053000220,3700530,37,99,-2.000,115.000,-1.000,-1.000
370420002544,2017,370420002544,3704200,37,2,-1.000,0.000,-1.000,-1.000
370150000623,2017,370150000623,3701500,37,4,-1.000,-1.000,-1.000,-1.000
370414003078,2017,370414003078,3704140,37,1,-2.000,0.000,-1.000,-1.000
370066000268,2017,370066000268,3700660,37,0,-1.000,141.000,-1.000,-1.000
370039803362,2017,370039803362,3700398,37,99,-2.000,1.000,-1.000,-1.000
370276002589,2017,370276002589,3702760,37,99,0.000,13.000,-1.000,-1.000
370237002389,2017,370237002389,3702370,37,1,0.000,14.000,-1.000,-1.000
370117002816,2017,370117002816,3701170,37,99,-2.000,15.000,-1.000,-1.000
370204002873,2017,370204002873,3702040,37,0,-1.000,2.000,-1.000,-1.000
370001101097,2017,370001101097,3700011,37,4,-1.000,-1.000,-1.000,-1.000
370033001923,2017,370033001923,3700330,37,2,-1.000,0.000,-1.000,-1.000
370150002378,2017,370150002378,3701500,37,2,-1.000,5.000,-1.000,-1.000
370001102663,2017,370001102663,3700011,37,2,-1.000,3.000,-1.000,-1.000
370462001805,2017,370462001805,3704620,37,1,0.000,16.000,-1.000,-1.000
370162000706,2017,370162000706,3701620,37,1,0.000,3.000,-1.000,-1.000
370472002837,2017,370472002837,3704720,37,0,-1.000,14.000,-1.000,-1.000
370387002916,2017,370387002916,3703870,37,0,-1.000,16.000,-1.000,-1.000
370192000774,2017,370192000774,3701920,37,1,-2.000,64.000,-1.000,-1.000
370472002746,2017,370472002746,3704720,37,2,-1.000,0.000,-1.000,-1.000
370192000828,2017,370192000828,3701920,37,1,-2.000,1.000,-1.000,-1.000
370162000666,2017,370162000666,3701620,37,1,-2.000,14.000,-1.000,-1.000
370234002467,2017,370234002467,3702340,37,4,-1.000,-1.000,-1.000,-1.000
370114002759,2017,370114002759,3701140,37,99,-2.000,1.000,-1.000,-1.000
370393002233,2017,370393002233,3703930,37,99,-2.000,272.000,-1.000,-1.000
370063000251,2017,370063000251,3700630,37,99,-2.000,7.000,-1.000,-1.000
370472001876,2017,370472001876,3704720,37,1,2.000,3.000,-1.000,-1.000
370045000144,2017,370045000144,3700450,37,4,-1.000,-1.000,-1.000,-1.000
370472002282,2017,370472002282,3704720,37,0,-1.000,16.000,-1.000,-1.000
370045000154,2017,370045000154,3700450,37,99,-2.000,9.000,-1.000,-1.000
370342001412,2017,370342001412,3703420,37,99,-2.000,331.000,-1.000,-1.000
370462002893,2017,370462002893,3704620,37,2,-1.000,0.000,-1.000,-1.000
370399001066,2017,370399001066,3703990,37,1,-2.000,3.000,-1.000,-1.000
370438001739,2017,370438001739,3704380,37,99,0.000,3.000,-1.000,-1.000
370237001015,2017,370237001015,3702370,37,99,0.000,31.000,-1.000,-1.000
370108002627,2017,370108002627,3701080,37,99,-2.000,32.000,-1.000,-1.000
370040803404,2017,370040803404,3700408,37,1,-2.000,13.000,-1.000,-1.000
370438001732,2017,370438001732,3704380,37,99,-2.000,5.000,-1.000,-1.000
370058000238,2017,370058000238,3700580,37,2,-1.000,0.000,-1.000,-1.000
370495001977,2017,370495001977,3704950,37,1,0.000,0.000,-1.000,-1.000
370372001511,2017,370372001511,3703720,37,0,-1.000,0.000,-1.000,-1.000
370333001382,2017,370333001382,3703330,37,99,-2.000,55.000,-1.000,-1.000
370114002036,2017,370114002036,3701140,37,99,0.000,19.000,-1.000,-1.000
370045003190,2017,370045003190,3700450,37,4,-1.000,-1.000,-1.000,-1.000
370231000990,2017,370231000990,3702310,37,0,-1.000,45.000,-1.000,-1.000
370231002528,2017,370231002528,3702310,37,1,-2.000,15.000,-1.000,-1.000
370012302597,2017,370012302597,3700123,37,99,-2.000,158.000,-1.000,-1.000
370150000613,2017,370150000613,3701500,37,0,-1.000,12.000,-1.000,-1.000
370150000646,2017,370150000646,3701500,37,0,-1.000,78.000,-1.000,-1.000
370297001186,2017,370297001186,3702970,37,4,-1.000,-1.000,-1.000,-1.000
370327000752,2017,370327000752,3703270,37,2,-1.000,2.000,-1.000,-1.000
370048002193,2017,370048002193,3700480,37,4,-1.000,-1.000,-1.000,-1.000
370053002075,2017,370053002075,3700530,37,4,-1.000,-1.000,-1.000,-1.000
370114000469,2017,370114000469,3701140,37,99,-2.000,27.000,-1.000,-1.000
370472003445,2017,370472003445,3704720,37,99,-2.000,122.000,-1.000,-1.000
370489001965,2017,370489001965,3704890,37,0,-1.000,144.000,-1.000,-1.000
370420001689,2017,370420001689,3704200,37,2,-1.000,0.000,-1.000,-1.000
370039103375,2017,370039103375,3700391,37,2,-1.000,0.000,-1.000,-1.000
370378002883,2017,370378002883,3703780,37,4,-1.000,-1.000,-1.000,-1.000
370035003296,2017,370035003296,3700350,37,4,-1.000,-1.000,-1.000,-1.000
370090002709,2017,370090002709,3700900,37,99,0.000,24.000,-1.000,-1.000
370472002803,2017,370472002803,3704720,37,2,-1.000,0.000,-1.000,-1.000
370408001636,2017,370408001636,3704080,37,4,-1.000,-1.000,-1.000,-1.000
370003000202,2017,370003000202,3700030,37,1,-2.000,40.000,-1.000,-1.000
370192000830,2017,370192000830,3701920,37,99,-2.000,170.000,-1.000,-1.000
370472002282,2017,370472002282,3704720,37,2,-1.000,0.000,-1.000,-1.000
370472003192,2017,370472003192,3704720,37,2,-1.000,0.000,-1.000,-1.000
370225000972,2017,370225000972,3702250,37,99,0.000,61.000,-1.000,-1.000
370472002804,2017,370472002804,3704720,37,0,-1.000,28.000,-1.000,-1.000
370042000126,2017,370042000126,3700420,37,4,-1.000,-1.000,-1.000,-1.000
370472001883,2017,370472001883,3704720,37,1,0.000,11.000,-1.000,-1.000
370393002240,2017,370393002240,3703930,37,1,-2.000,124.000,-1.000,-1.000
370063002369,2017,370063002369,3700630,37,99,-2.000,134.000,-1.000,-1.000
370399001542,2017,370399001542,3703990,37,2,-1.000,2.000,-1.000,-1.000
370126000441,2017,370126000441,3701260,37,99,-2.000,110.000,-1.000,-1.000
370309001315,2017,370309001315,3703090,37,4,-1.000,-1.000,-1.000,-1.000
370048002431,2017,370048002431,3700480,37,1,0.000,1.000,-1.000,-1.000
370345001427,2017,370345001427,3703450,37,0,-1.000,42.000,-1.000,-1.000
370331000387,2017,370331000387,3703310,37,99,0.000,254.000,-1.000,-1.000
370006402399,2017,370006402399,3700064,37,4,-1.000,-1.000,-1.000,-1.000
370162000712,2017,370162000712,3701620,37,99,-2.000,291.000,-1.000,-1.000
370001102120,2017,370001102120,3700011,37,4,-1.000,-1.000,-1.000,-1.000
370345001434,2017,370345001434,3703450,37,2,-1.000,3.000,-1.000,-1.000
370060003391,2017,370060003391,3700600,37,4,-1.000,-1.000,-1.000,-1.000
370111002093,2017,370111002093,3701110,37,2,-1.000,0.000,-1.000,-1.000
370465001993,2017,370465001993,3704650,37,0,-1.000,55.000,-1.000,-1.000
370345002404,2017,370345002404,3703450,37,0,-1.000,38.000,-1.000,-1.000
370237002322,2017,370237002322,3702370,37,99,0.000,70.000,-1.000,-1.000
370060000246,2017,370060000246,3700600,37,99,-2.000,33.000,-1.000,-1.000
370243001039,2017,370243001039,3702430,37,2,-1.000,21.000,-1.000,-1.000
370405001630,2017,370405001630,3704050,37,4,-1.000,-1.000,-1.000,-1.000
370126002920,2017,370126002920,3701260,37,1,-2.000,14.000,-1.000,-1.000
370256001074,2017,370256001074,3702560,37,4,-1.000,-1.000,-1.000,-1.000
370297001221,2017,370297001221,3702970,37,99,-2.000,254.000,-1.000,-1.000
370488001953,2017,370488001953,3704880,37,2,-1.000,2.000,-1.000,-1.000
